model,threshold,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,tp,fp,n
M1_immune_sensitive,0.41,0.13183977479326728,-0.26678787167908025,0.0,52,20,289
M1_immune_sensitive,0.42,0.12981744421906694,-0.2886290418804438,0.0,52,20,289
M1_immune_sensitive,0.43,0.12772415467735082,-0.31123656893097795,0.0,52,20,289
M1_immune_sensitive,0.44,0.12555610479485912,-0.33465150766188834,0.0,52,20,289
M1_immune_sensitive,0.45,0.12330921673482229,-0.35891789871028623,0.0,52,20,289
M1_immune_sensitive,0.46,0.12097911059848776,-0.38408304498269896,0.0,52,20,289
M1_immune_sensitive,0.47,0.11856107592870668,-0.4101978194163347,0.0,52,20,289
M1_immune_sensitive,0.48,0.11578387010912965,-0.4373170082512643,0.0,51,19,289
M1_immune_sensitive,0.49,0.11662935070221862,-0.4654996946875636,0.0,51,18,289
M1_immune_sensitive,0.5,0.11418685121107268,-0.4948096885813149,0.0,51,18,289
M1_immune_sensitive,0.51,0.1081844502506885,-0.5253160087564438,0.0,50,18,289
M1_immune_sensitive,0.52,0.10207612456747403,-0.5570934256055364,0.0,49,18,289
M1_immune_sensitive,0.53,0.09931532062136492,-0.5902230729588458,0.0,49,18,289
M1_immune_sensitive,0.54,0.09643448172107716,-0.6247931397622989,0.0,49,18,289
M1_immune_sensitive,0.55,0.09342560553633215,-0.660899653979239,0.0,49,18,289
M1_immune_sensitive,0.56,0.09027996225228058,-0.698647373387858,0.0,49,18,289
M1_immune_sensitive,0.57,0.08698800997827313,-0.7381508006759473,0.0,49,18,289
M1_immune_sensitive,0.58,0.08353929807217006,-0.7795353435491842,0.0,49,18,289
M1_immune_sensitive,0.59,0.07646214870453204,-0.8229386446113595,0.0,48,18,289
M1_immune_sensitive,0.6,0.0726643598615917,-0.8685121107266435,0.0,48,18,289
M1_immune_sensitive,0.61,0.0686718126164493,-0.9164226776683525,0.0,48,18,289
M1_immune_sensitive,0.62,0.06446913130577309,-0.966854853396467,0.0,48,18,289
M1_immune_sensitive,0.63,0.05657907041990087,-1.0200130926774524,0.0,47,18,289
M1_immune_sensitive,0.64,0.0519031141868512,-1.0761245674740487,0.0,47,18,289
M1_immune_sensitive,0.65,0.04695996045477012,-1.1354424122590214,0.0,47,18,289
M1_immune_sensitive,0.66,0.041726032973743124,-1.1982495420313457,0.0,47,18,289
M1_immune_sensitive,0.67,0.036174897766593245,-1.264863164517144,0.0,47,18,289
M1_immune_sensitive,0.68,0.030276816608996504,-1.335640138408305,0.0,47,18,289
M1_immune_sensitive,0.69,0.023998214086393604,-1.4109833686795397,0.0,47,18,289
M1_immune_sensitive,0.7,0.025374855824682824,-1.491349480968858,0.0,47,17,289
M1_immune_sensitive,0.71,0.018613530604939754,-1.5772580837608876,0.0,47,17,289
M1_immune_sensitive,0.72,0.01136925358378646,-1.6693030153237762,0.0,47,17,289
M1_immune_sensitive,0.73,0.0035883634499551675,-1.7681660899653977,0.0,47,17,289
M1_immune_sensitive,0.74,-0.004791056694170875,-1.8746340165025281,0.0,47,17,289
M1_immune_sensitive,0.75,-0.003460207612456745,-1.9896193771626298,0.0,47,16,289
M1_immune_sensitive,0.76,-0.012687427912341426,-2.114186851211073,0.0,47,16,289
M1_immune_sensitive,0.77,-0.02617722280728149,-2.2495862795245976,0.0,46,16,289
M1_immune_sensitive,0.78,-0.04403900597672228,-2.397294746775716,0.0,44,16,289
M1_immune_sensitive,0.79,-0.056022408963585485,-2.5590706870983695,0.0,44,16,289
M1_immune_sensitive,0.8,-0.06920415224913501,-2.7370242214532876,0.0,44,16,289
M1_immune_sensitive,0.81,-0.08377344745947923,-2.9337097067929347,0.0,44,16,289
M1_immune_sensitive,0.82,-0.09996155324875045,-3.152249134948096,0.0,44,16,289
M1_immune_sensitive,0.83,-0.11805414207205367,-3.3964990840626896,0.0,44,16,289
M1_immune_sensitive,0.84,-0.13840830449826985,-3.671280276816608,0.0,44,16,289
M1_immune_sensitive,0.85,-0.16147635524798154,-3.982698961937716,0.0,44,16,289
M1_immune_sensitive,0.86,-0.18783984181908053,-4.3386060306475525,0.0,44,16,289
M1_immune_sensitive,0.87,-0.22171945701357465,-4.749268033005056,0.0,43,16,289
M1_immune_sensitive,0.88,-0.26066897347174167,-5.228373702422146,0.0,42,16,289
M1_immune_sensitive,0.89,-0.30261088392576285,-5.794589493551432,0.0,42,16,289
M1_immune_sensitive,0.9,-0.35294117647058837,-6.474048442906576,0.0,42,16,289
M1_immune_sensitive,0.91,-0.4144559784698195,-7.304498269896196,0.0,42,16,289
M1_immune_sensitive,0.92,-0.49134948096885855,-8.342560553633223,0.0,42,16,289
M1_immune_sensitive,0.93,-0.544241225902126,-9.677212061295114,0.0,42,15,289
M1_immune_sensitive,0.94,-0.6170703575547858,-11.45674740484428,0.0,41,14,289
M1_immune_sensitive,0.95,-0.782006920415224,-13.948096885813136,0.0,40,14,289
